state,enter_price,enter_time,exit_price,ror,fiat_money,bin btc price (usdt),up btc price (krw),exchage rate(usd),kimch premium,pred premium(official)
False,0.0,,0.0,1.0,1000000.0,,,,,
True,8343000.0,2020-01-01,7195.24,1.0,1000000.0,7195.24,8343000.0,1155.07,0.0038496102292271406,0.0246561562237159
False,6965.49,2020-01-03,8300000.0,1.0112500435945584,1011250.0435945584,6965.49,8300000.0,1157.94,0.029059207376836538,0.0241911550419694
True,8038000.0,2020-01-04,7345.0,1.0112500435945584,1011250.0435945584,7345.0,8038000.0,1157.94,-0.05491657781083581,0.0241911550419694
False,7354.19,2020-01-05,8476000.0,1.0368415233988624,1048506.0357377478,7354.19,8476000.0,1157.94,-0.004663235950477018,0.0241911550419694
True,8483000.0,2020-01-06,7357.64,1.0368415233988624,1048506.0357377478,7357.64,8483000.0,1165.89,-0.011097772471146627,0.0229030855663998
False,9851.74,2020-02-11,11821000.0,1.0217488103207013,1071309.7946291186,9851.74,11821000.0,1188.17,0.009863540281219718,0.0192932506084512
True,11520000.0,2020-02-12,10223.08,1.0217488103207013,1071309.7946291186,10223.08,11520000.0,1182.29,-0.04688192971080851,0.0202459359564197
False,9904.46,2020-02-16,11857000.0,1.04085930467678,1115082.7679310883,9904.46,11857000.0,1184.59,0.01059223124359443,0.0198732869257518
True,11513000.0,2020-02-17,9910.7,1.04085930467678,1115082.7679310883,9910.7,11513000.0,1183.44,-0.018392359091503052,0.0200596114410857
False,9706.0,2020-02-18,11659000.0,1.0137911052439093,1130460.9917392957,9706.0,11659000.0,1185.38,0.01335921210032276,0.0197452900847832
True,11438000.0,2020-02-19,10164.78,1.0137911052439093,1130460.9917392957,10164.78,11438000.0,1191.05,-0.05523865606190914,0.0188266292135279
False,9594.65,2020-02-20,11837000.0,1.0756670859738078,1215999.680791269,9594.65,11837000.0,1193.0,0.03412268962809861,0.0185106876440485
True,11419000.0,2020-02-21,9597.21,1.0756670859738078,1215999.680791269,9597.21,11419000.0,1205.21,-0.012765443743800176,0.0165324073551549
False,9316.48,2020-02-26,11635000.0,1.0308875547450016,1253558.937501614,9316.48,11635000.0,1216.04,0.02699107860675798,0.0147777164846619
True,10742000.0,2020-02-28,8823.25,1.0308875547450016,1253558.937501614,8823.25,10742000.0,1212.68,0.003945987178775923,0.0153221081120724
False,8034.76,2020-03-09,10678000.0,1.0742075686816364,1346582.4984527442,8034.76,10678000.0,1188.7,0.11800757214906676,0.0192073793100799
True,9574000.0,2020-03-12,7934.58,1.0742075686816364,1346582.4984527442,7934.58,9574000.0,1192.71,0.01166009459861006,0.0185576738261762
False,4800.01,2020-03-13,9507000.0,1.622649845276451,2185031.882766322,4800.01,9507000.0,1211.21,0.6352415136157339,0.0155602794490646
True,6362000.0,2020-03-14,5576.05,1.622649845276451,2185031.882766322,5576.05,6362000.0,1211.21,-0.058007255848065764,0.0155602794490646
False,5172.48,2020-03-15,7261000.0,1.2226685196629739,2671569.6975183,5172.48,7261000.0,1211.21,0.15898594381540887,0.0155602794490646
True,6385000.0,2020-03-18,5312.64,1.2226685196629739,2671569.6975183,5312.64,6385000.0,1239.76,-0.030577950054134106,0.0109345708292517
False,5393.26,2020-03-19,6774000.0,1.0392842143457537,2776520.214155229,5393.26,6774000.0,1256.5,-0.00038827404446672986,0.0082223339712599
True,6747000.0,2020-03-20,6162.05,1.0392842143457537,2776520.214155229,6162.05,6747000.0,1258.36,-0.12987712233051651,0.0079209743203719
False,6204.57,2020-03-21,7675000.0,1.1234362099142337,3119243.3461408066,6204.57,7675000.0,1258.36,-0.016981274513005906,0.0079209743203719
True,7788000.0,2020-03-22,6187.04,1.1234362099142337,3119243.3461408066,6187.04,7788000.0,1258.36,0.0003180705254939298,0.0079209743203719
False,5816.05,2020-03-23,7740000.0,1.0513564770842518,3279436.695567092,5816.05,7740000.0,1254.85,0.060525252802390295,0.0084896691454347
True,7379000.0,2020-03-24,6465.25,1.0513564770842518,3279436.695567092,6465.25,7379000.0,1273.0,-0.10343086534929491,0.0055489822295116
False,6744.69,2020-03-25,8047000.0,1.0397687727443814,3409855.8682426848,6744.69,8047000.0,1234.21,-0.03331952447872988,0.0118337891423852
True,8276000.0,2020-03-27,6737.27,1.0397687727443814,3409855.8682426848,6737.27,8276000.0,1213.4,0.012354316791797437,0.0152054527633416
False,6359.11,2020-03-28,8281000.0,1.054337232843894,3595138.000519506,6359.11,8281000.0,1213.4,0.07320442964554208,0.0152054527633416
True,7218000.0,2020-03-31,6394.45,1.054337232843894,3595138.000519506,6394.45,7218000.0,1224.71,-0.0783194603053452,0.0133729916603615
False,6412.14,2020-04-01,7794000.0,1.0716352729036889,3852676.6923131435,6412.14,7794000.0,1218.8,-0.0027019728655520714,0.0143305376478604
True,7799000.0,2020-04-02,6643.36,1.0716352729036889,3852676.6923131435,6643.36,7799000.0,1236.7,-0.05073652164120046,0.0114303560613577
False,6732.97,2020-04-04,8160000.0,1.0273396631699354,3958007.5753836455,6732.97,8160000.0,1227.85,-0.01295224560285857,0.0128642447228409
True,8149000.0,2020-04-05,6857.41,1.0273396631699354,3958007.5753836455,6857.41,8149000.0,1227.85,-0.03217043025129618,0.0128642447228409
False,6772.78,2020-04-06,8248000.0,1.019794712295322,4036355.196601069,6772.78,8248000.0,1236.42,-0.015046648896081871,0.0114757220303086
True,8198000.0,2020-04-07,7329.9,1.019794712295322,4036355.196601069,7329.9,8198000.0,1224.64,-0.0867253063971315,0.0133843331525992
False,7197.32,2020-04-08,8777000.0,1.0850930599876238,4379821.011476801,7197.32,8777000.0,1215.43,0.003333549414288761,0.0148765494884477
True,8652000.0,2020-04-09,7360.26,1.0850930599876238,4379821.011476801,7360.26,8652000.0,1216.26,-0.03351096609550397,0.0147420717947719
False,7283.54,2020-04-10,8821000.0,1.0253941699369458,4491042.930535648,7283.54,8821000.0,1211.11,-1.9059765955398156e-05,0.0155764815808328
True,8413000.0,2020-04-12,6876.84,1.0253941699369458,4491042.930535648,6876.84,8413000.0,1211.11,0.010132580432603122,0.0155764815808328
False,6621.25,2020-04-16,8375000.0,1.0292506720371768,4622408.954401627,6621.25,8375000.0,1224.72,0.032780477003505615,0.0133713714471846
True,8107000.0,2020-04-17,7101.99,1.0292506720371768,4622408.954401627,7101.99,8107000.0,1228.98,-0.07117199525498297,0.0126811606338606
False,7026.78,2020-04-18,8557000.0,1.0621773852295047,4909818.256647769,7026.78,8557000.0,1228.98,-0.00912160298235487,0.0126811606338606
True,8519000.0,2020-04-19,7248.6,1.0621773852295047,4909818.256647769,7248.6,8519000.0,1228.98,-0.043709881533190775,0.0126811606338606
False,7121.4,2020-04-20,8712000.0,1.0364524156243176,5088792.992378957,7121.4,8712000.0,1216.26,0.0058334223724509915,0.0147420717947719
True,8387000.0,2020-04-22,6841.36,1.0364524156243176,5088792.992378957,6841.36,8387000.0,1233.53,-0.006164552700943959,0.0119439636384088
False,9539.1,2020-05-10,11881000.0,1.0111463300280026,5145514.3585161995,9539.1,11881000.0,1220.11,0.020813976751886454,0.0141182897216974
True,10441000.0,2020-05-13,8810.99,1.0111463300280026,5145514.3585161995,8810.99,10441000.0,1226.84,-0.03410601822613635,0.0130278862536994
False,9315.96,2020-05-16,11777000.0,1.0615309134786164,5462122.557313038,9315.96,11777000.0,1227.53,0.029852304456771783,0.0129160915444991
True,11314000.0,2020-05-17,9380.81,1.0615309134786164,5462122.557313038,9380.81,11314000.0,1227.53,-0.01747475078254268,0.0129160915444991
False,9511.43,2020-05-21,11727000.0,1.0172072374783798,5556110.597292739,9511.43,11727000.0,1227.4,0.004511678331052149,0.0129371543157977
True,11089000.0,2020-05-23,9170.0,1.0172072374783798,5556110.597292739,9170.0,11089000.0,1233.27,-0.019460980484726886,0.011986089181006
False,8718.14,2020-05-25,11140000.0,1.0516995779288285,5843359.170098664,8718.14,11140000.0,1240.56,0.03001506825575384,0.0108049537751064
True,10663000.0,2020-05-26,8900.35,1.0516995779288285,5843359.170098664,8900.35,10663000.0,1240.95,-0.034576112173100526,0.0107417654612105
False,8841.0,2020-05-27,10821000.0,1.0170621168177834,5943059.246867154,8841.0,10821000.0,1230.99,-0.00571364024133314,0.0123554977853203
True,10724000.0,2020-05-28,9204.07,1.0170621168177834,5943059.246867154,9204.07,10724000.0,1238.26,-0.0590532460417067,0.0111776028057743
False,9426.6,2020-05-30,11579000.0,1.0495108958620258,6237305.434340644,9426.6,11579000.0,1238.03,-0.007832935588132472,0.0112148677088411
True,11397000.0,2020-05-31,9697.72,1.0495108958620258,6237305.434340644,9697.72,11397000.0,1238.03,-0.05073003724509306,0.0112148677088411
False,9448.27,2020-06-01,11583000.0,1.038516533429898,6477544.81761491,9448.27,11583000.0,1231.47,-0.004491610170534899,0.0122777275528331
True,11432000.0,2020-06-02,10202.71,1.038516533429898,6477544.81761491,10202.71,11432000.0,1223.05,-0.08385870094362669,0.0136419470477131
False,9518.02,2020-06-03,12111000.0,1.1307568997311672,7324528.495835925,9518.02,12111000.0,1220.12,0.042871610407827054,0.0141166695085205
True,11520000.0,2020-06-04,9666.32,1.1307568997311672,7324528.495835925,9666.32,11520000.0,1215.95,-0.01988825432215635,0.0147922984032533
False,9621.17,2020-06-06,11785000.0,1.0236700941739258,7497900.775111965,9621.17,11785000.0,1216.54,0.006874414620761993,0.0146967058258211
True,11601000.0,2020-06-07,9666.85,1.0236700941739258,7497900.775111965,9666.85,11601000.0,1216.54,-0.013529610103341971,0.0146967058258211
False,9278.88,2020-06-12,11732000.0,1.0494390108447935,7868589.572845912,9278.88,11732000.0,1206.2,0.0482314169484368,0.0163720062506499
True,11090000.0,2020-06-13,9464.96,1.0494390108447935,7868589.572845912,9464.96,11090000.0,1206.2,-0.028610423219747605,0.0163720062506499
False,9473.34,2020-06-14,11374000.0,1.0208730668113888,8032831.168711321,9473.34,11374000.0,1206.2,-0.004615725526319503,0.0163720062506499
True,11382000.0,2020-06-15,9342.1,1.0208730668113888,8032831.168711321,9342.1,11382000.0,1203.61,0.012251157746275831,0.0167916414634456
False,9298.33,2020-06-25,11506000.0,1.011851871956055,8128035.2551674945,9298.33,11506000.0,1206.2,0.025888331636400697,0.0163720062506499
True,11232000.0,2020-06-26,9249.49,1.011851871956055,8128035.2551674945,9249.49,11232000.0,1202.36,0.009961428288661978,0.0169941681105477
False,11071.36,2020-08-03,13922000.0,1.0314568973256708,8383718.025648732,11071.36,13922000.0,1194.1,0.05307658989821329,0.0183324641945987
True,13030000.0,2020-08-04,11219.68,1.0314568973256708,8383718.025648732,11219.68,13030000.0,1192.7,-0.026283059086079086,0.0185592940393531
False,11191.99,2020-08-05,13273000.0,1.0170930169024428,8527021.05956646,11191.99,13273000.0,1193.32,-0.006186569603792158,0.0184588408223904
True,13322000.0,2020-08-06,11744.91,1.0170930169024428,8527021.05956646,11744.91,13322000.0,1186.24,-0.04380345134543984,0.0196059517515769
False,11762.47,2020-08-07,13843000.0,1.0333941465155774,8811773.650171036,11762.47,13843000.0,1184.0,-0.0060146403797013415,0.019968879503184
True,13883000.0,2020-08-08,11594.36,1.0333941465155774,8811773.650171036,11594.36,13883000.0,1184.0,0.011311254502771817,0.019968879503184
False,11392.09,2020-08-12,13994000.0,1.0217798241114588,9003692.530381748,11392.09,13994000.0,1186.12,0.035642425894020224,0.0196253943096987
True,13619000.0,2020-08-13,11564.34,1.0217798241114588,9003692.530381748,11564.34,13619000.0,1183.74,-0.005126083043096696,0.0200110050457812
False,11531.23,2020-08-22,13951000.0,1.023295342907962,9213436.635314848,11531.23,13951000.0,1185.36,0.020656101778524505,0.0197485305111368
True,13781000.0,2020-08-23,11663.51,1.023295342907962,9213436.635314848,11663.51,13781000.0,1185.36,-0.0032156774056331106,0.0197485305111368
False,11318.42,2020-08-26,13876000.0,1.0335977499727285,9522987.375777733,11318.42,13876000.0,1187.48,0.03240995083942555,0.0194050453176516
True,13473000.0,2020-08-27,11461.42,1.0335977499727285,9522987.375777733,11461.42,13473000.0,1184.79,-0.007833629715579327,0.0198408826622154
False,11330.38,2020-08-28,13561000.0,1.014374625315678,9659876.751190469,11330.38,13561000.0,1187.56,0.007840205089963526,0.0193920836122371
True,13401000.0,2020-08-29,11526.9,1.014374625315678,9659876.751190469,11526.9,13401000.0,1187.56,-0.021030592071221488,0.0193920836122371
False,11465.84,2020-08-30,13546000.0,1.012454783255599,9780188.422402347,11465.84,13546000.0,1187.56,-0.005168259613360093,0.0193920836122371
True,13470000.0,2020-08-31,11711.17,1.012454783255599,9780188.422402347,11711.17,13470000.0,1180.51,-0.025688922869649078,0.0205343339018931
False,11649.51,2020-09-01,13671000.0,1.0165488422648747,9942039.217925437,11649.51,13671000.0,1188.07,-0.012241910456701088,0.0193094527402194
True,13733000.0,2020-09-02,11921.97,1.0165488422648747,9942039.217925437,11921.97,13733000.0,1185.58,-0.028402181586968056,0.0197128858212469
False,11388.54,2020-09-03,13972000.0,1.0611927992732593,10550420.428154819,11388.54,13972000.0,1189.63,0.03128480243310805,0.0190566994846359
True,12301000.0,2020-09-05,10446.25,1.0611927992732593,10550420.428154819,10446.25,12301000.0,1191.73,-0.011897197333776033,0.0187164547175043
False,10166.69,2020-09-06,12630000.0,1.0515302835883682,11094086.58479415,10166.69,12630000.0,1191.73,0.0424275891390804,0.0187164547175043
True,12383000.0,2020-09-07,10255.89,1.0515302835883682,11094086.58479415,10255.89,12383000.0,1187.33,0.016906627100295113,0.0194293485153039
False,10417.22,2020-09-22,12828000.0,1.0166055921858757,11278310.462296035,10417.22,12828000.0,1164.84,0.05716028538871232,0.0230732079499656
True,12290000.0,2020-09-23,10529.61,1.0166055921858757,11278310.462296035,10529.61,12290000.0,1163.65,0.0030376226003443474,0.0232660133180068
False,10241.46,2020-09-24,12346000.0,1.0295845597277913,11611974.311796406,10241.46,12346000.0,1170.78,0.029648768927093894,0.0221108013229362
True,11943000.0,2020-09-25,10736.33,1.0295845597277913,11611974.311796406,10736.33,11943000.0,1169.6,-0.04891305403862234,0.0223019864778006
False,10686.57,2020-09-26,12495000.0,1.0478900170829732,12168071.959955383,10686.57,12495000.0,1169.6,-0.0003210071254179381,0.0223019864778006
True,12456000.0,2020-09-27,10728.59,1.0478900170829732,12168071.959955383,10728.59,12456000.0,1169.6,-0.007344413232159397,0.0223019864778006
False,10619.13,2020-10-02,12562000.0,1.015816539689522,12360528.753054978,10619.13,12562000.0,1162.93,0.01722324873083836,0.0233826686667376
True,12440000.0,2020-10-03,10570.4,1.015816539689522,12360528.753054978,10570.4,12440000.0,1162.93,0.011988050140531392,0.0233826686667376
False,17149.47,2020-11-27,20840000.0,1.0288766661796889,12717459.615661394,17149.47,20840000.0,1106.07,0.09866274654874418,0.0325952007901198
True,19226000.0,2020-11-28,17139.53,1.0288766661796889,12717459.615661394,17139.53,19226000.0,1106.07,0.014162192821064234,0.0325952007901198
False,22719.88,2020-12-22,25890000.0,1.0114338962179497,12862869.729062833,22719.88,25890000.0,1104.31,0.03189382196594304,0.0328803583092396
True,25387000.0,2020-12-23,23810.79,1.0114338962179497,12862869.729062833,23810.79,25387000.0,1109.94,-0.039409968441892596,0.0319681782906915
False,23232.39,2020-12-24,26776000.0,1.0758834676125892,13838948.887553127,23232.39,26776000.0,1106.87,0.04125042836585613,0.0324655837359744
True,26380000.0,2020-12-25,23728.99,1.0758834676125892,13838948.887553127,23728.99,26380000.0,1102.66,0.008216771256795097,0.0331476934834144
False,31989.75,2021-01-05,37537000.0,1.0499721251428347,14530510.573207226,31989.75,37537000.0,1086.69,0.07979930519646761,0.0357351739267913
True,36478000.0,2021-01-06,33949.53,1.0499721251428347,14530510.573207226,33949.53,36478000.0,1087.4,-0.011884017182755335,0.0356201387912373
False,40586.96,2021-01-09,44698000.0,1.018643079519089,14801404.037276493,40586.96,44698000.0,1094.35,0.0063413672998406945,0.0344940906333494
True,38496000.0,2021-01-14,37371.38,1.018643079519089,14801404.037276493,37371.38,38496000.0,1098.11,-0.06193998604396689,0.0338848904788662
False,39145.21,2021-01-15,41380000.0,1.020061734402274,15098345.87385308,39145.21,41380000.0,1096.04,-0.03553725817746867,0.0342202746064674
True,40070000.0,2021-01-18,35824.99,1.020061734402274,15098345.87385308,35824.99,40070000.0,1104.26,0.01288916099901205,0.0328884593751237
False,30851.99,2021-01-22,39253000.0,1.1310948470207338,17077661.216451976,30851.99,39253000.0,1099.97,0.15666829582028363,0.0335835308279782
True,34525000.0,2021-01-23,32950.0,1.1310948470207338,17077661.216451976,32950.0,34525000.0,1099.97,-0.04742884214127341,0.0335835308279782
False,32078.0,2021-01-24,36345000.0,1.076154537519842,18378202.60831142,32078.0,36345000.0,1099.97,0.03004583300667507,0.0335835308279782
True,35494000.0,2021-01-25,32259.45,1.076154537519842,18378202.60831142,32259.45,35494000.0,1105.54,-0.004769846822941903,0.0326810720884911
False,30362.19,2021-01-28,35929000.0,1.0705921663464693,19675559.743986454,30362.19,35929000.0,1108.42,0.06759783075642489,0.0322144506935677
True,34293000.0,2021-01-29,33368.18,1.0705921663464693,19675559.743986454,33368.18,34293000.0,1113.24,-0.07682474032150177,0.0314335079423419
False,34246.28,2021-01-30,36631000.0,1.036233648219426,20388477.05427036,34246.28,36631000.0,1113.24,-0.03916996826625241,0.0314335079423419
True,37523000.0,2021-01-31,34262.89,1.036233648219426,20388477.05427036,34262.89,37523000.0,1113.24,-0.016249969694597466,0.0314335079423419
False,33092.97,2021-02-01,37039000.0,1.0174460441507067,20744175.32512483,33092.97,37039000.0,1118.43,0.0007248848847054568,0.0305926173035738
True,36408000.0,2021-02-02,33517.09,1.0174460441507067,20744175.32512483,33517.09,36408000.0,1117.44,-0.027910384813391698,0.0307530184080787
False,51552.61,2021-02-19,57458000.0,1.0207099032442324,21173785.188989557,51552.61,57458000.0,1107.08,0.006748154862477929,0.0324315592592613
True,57852000.0,2021-02-20,55906.0,1.0207099032442324,21173785.188989557,55906.0,57852000.0,1107.08,-0.06528125480232516,0.0324315592592613
False,55841.19,2021-02-21,63649000.0,1.0947488664248888,23179977.333570417,55841.19,63649000.0,1107.08,0.02957482560054392,0.0324315592592613
